,error
213,17.147797239414395
214,17.09260966924906
215,17.055024640812828
216,16.9972548208104
217,16.986319596086133
218,16.922585836257458
219,16.901411511901294
220,16.781963093005302
221,16.775012346529998
222,16.768998773731774
223,16.68416159225362
224,16.662106576703433
225,16.563641837023724
226,16.514780097766284
227,16.460590124269444
228,16.429731254808548
229,16.427348268658296
230,16.40028037848718
231,16.367248536449875
232,16.367248536449875
233,16.328653894217513
234,16.328653894217513
235,16.237689946032706
236,16.206774715699694
237,16.170575717652785
238,16.08736904278766
239,16.06795976743183
240,15.945792500450182
241,15.937715423310891
242,15.911823493171312
243,15.907058628655115
244,15.877576232518997
245,15.820294355360389
246,15.816208373903823
247,15.786537383962157
248,15.783011047388332
249,15.747566906584693
250,15.680060135728537
251,15.666787423118974
252,15.648059130993076
253,15.648059130993076
254,15.595717076086297
255,15.42854368110861
256,15.391055878411436
257,15.31783489190111
258,15.249011597149412
259,15.210372085309137
260,15.19270887171794
261,15.126842141398095
262,15.117450799785848
263,15.114463461906285
264,15.112326645622995
265,15.085994935177466
266,15.085994935177466
267,15.083776970033375
268,15.039444457768887
269,14.975018732806458
270,14.879512950130493
271,14.856635688276103
272,14.728254957511359
273,14.702062862657264
274,14.702062862657264
275,14.685538812328202
276,14.684846913203703
277,14.676121573897838
278,14.642706660941606
279,14.62654346702477
280,14.613556663714892
281,14.611404577084866
282,14.59614287598743
283,14.582791325669362
284,14.560890806439652
285,14.555260417018589
286,14.555260417018589
287,14.54698490011172
288,14.539957769312446
289,14.528015816757026
290,14.472335411925837
291,14.422242943003605
292,14.422242943003605
293,14.327048093193776
294,14.302554473235036
295,14.257269677734289
296,14.223884302001347
297,14.206417857806665
298,14.178735920086156
299,14.164219830297695
300,14.136723686158112
301,14.106426797308941
302,14.098917136742816
303,14.098917136742816
304,14.070855972630905
305,14.060715602352358
306,14.01876952376098
307,14.017343964097067
308,13.996490693996725
309,13.969489153425583
310,13.952275590778845
311,13.903820155010681
312,13.898917510980604
313,13.891086831687996
314,13.863788406603867
315,13.863788406603867
316,13.861681900178834
317,13.831816870977963
318,13.798539838071786
319,13.702217262265174
320,13.65957331997444
321,13.611631681004926
322,13.591248249243092
323,13.507721056550348
324,13.448036842360786
325,13.356840370122915
326,13.324802919360238
327,13.215702947555519
328,13.206839338117657
329,13.202062133931879
330,13.19319240742102
331,13.1750474332602
332,13.1750474332602
333,13.167028871261357
334,13.142373091160142
335,13.064002861995485
336,12.989211462091582
337,12.97245963549518
338,12.932951582879376
339,12.932951582879376
340,12.922301388675148
341,12.88845359690649
342,12.885885230738413
343,12.869029721848136
344,12.856851716918518
345,12.809801799011684
346,12.807972278322067
347,12.806433933739292
348,12.78068233989124
349,12.76925734712133
350,12.741753236911311
351,12.724056234853663
352,12.675618758427989
353,12.673097380493115
354,12.62714868121069
355,12.614097523240781
356,12.559923990205961
357,12.556501723842144
358,12.503905415855078
359,12.502295994248087
360,12.462409320029519
361,12.448150339474344
362,12.439848993653468
363,12.410589290042852
364,12.393928229366116
365,12.335065443027725
366,12.324886671241517
367,12.314142533260393
368,12.306810948656212
369,12.301074926244192
