,error
0,4.042373143507322
1,0.0
2,0.0
3,3.504312442805781
4,0.005745615697179684
5,0.0
6,0.3294273797531438
7,0.3294273797531438
8,0.005745615697179684
9,0.005745615697179684
10,0.32484766245710334
11,0.32484766245710334
12,0.11657749825270255
13,0.11657749825270255
14,0.0924115431968452
15,0.03173270104799176
16,0.11253830566753516
17,8.09804789236075
18,0.10647164631428724
19,5.379225985007708
20,0.0
21,14.740777984955841
22,0.9060912989979577
23,0.11253830566753516
24,0.11253830566753516
25,0.11253830566753516
26,0.11253830566753516
27,0.0
28,26.91773345595074
29,6.196995005171753
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,9.486771736982197
36,1.2976860934961976
37,0.33896817140192004
38,1.9649634408302217
39,1.9649634408302217
40,23.141253861777138
41,0.6402118207452048
42,0.6410727872396069
43,0.6615417349170918
44,1.3081505787837486
45,2.5445659603254835
46,0.0
47,0.0
48,2.395178102987875
49,0.7538096956591633
50,0.7395730971969171
51,0.7202711459599286
52,0.7387213172992573
53,0.0
54,0.0
55,9.847385500445842
56,0.18778815272264887
57,0.2781981882983327
58,0.042390467359491604
59,0.042390467359491604
60,0.4080677743438086
61,0.4080677743438086
62,19.60419070175764
63,0.0
64,0.0
65,0.0
66,7.984343009631226
67,0.0
68,0.41023937675777256
69,0.0
70,0.0
71,0.7217941950356603
72,0.0
73,0.0
74,0.0
75,0.8306665609408712
76,3.8919060861955543
77,11.483610519432075
78,21.542862678536665
79,0.10476095605166427
80,0.07473499817927073
81,0.019043945906086674
82,0.6010473324868343
83,0.13297296140711903
84,0.8440820025388936
85,0.0880623369108405
86,8.661917699895765
87,0.0
88,0.054204945826155815
89,14.037867936076216
90,1.21689419889345
91,10.953644084574009
92,2.1822437326765307
93,0.0
94,0.0
95,0.42695190378422165
96,0.990617980023254
97,6.024435995561617
98,4.644177058221782
99,0.0
100,0.0
101,2.6998597114750837
102,0.0
103,0.0
104,12.54558559301693
105,0.05793518365451352
106,0.05793518365451352
107,0.06736007219099654
108,0.06455654269061302
109,0.054035965408464004
110,0.037812843568807666
111,0.03662847893776571
112,0.05732204295700392
113,0.0200369162667593
114,0.3089129422528958
115,20.733473479703527
116,0.1763918955883941
117,1.057500852171959
118,0.521615028747927
119,0.18958623958361664
120,0.6491069889984686
121,6.68730354735861
122,1.6833006441778688
123,0.0
124,0.0
125,4.151456863725737
126,2.7387291719685254
127,0.023543393853243746
128,1.7685384320674244
129,0.0
130,2.5803557236196633
131,1.678425933086086
132,2.164568108683682
133,0.21111379726264842
134,0.0
135,0.0
136,6.556560869018638
137,0.5323170761541018
138,9.001881815218239
139,0.0
140,0.05026692223997186
141,4.345244751334173
142,1.6643631786952444
143,2.183006956979585
144,0.43599712749218467
145,0.0
146,0.2132294737257003
147,0.47199183289443003
148,2.886928151412495
149,24.85594171264096
150,1.122045139690494
151,0.2978482735184252
152,1.141381280547199
153,6.536512185232597
154,0.7124111670158156
155,4.491258939982947
156,3.5722771907890287
157,0.0
158,0.2268398484668209
159,0.2268398484668209
160,0.18122480424882217
161,0.4957457849001956
162,3.0498066975592617
163,0.0
164,1.4021262701407013
165,0.0
166,0.21349425915787335
167,0.26825559620752154
168,1.0714507954359227
169,1.0714507954359227
170,1.1198791662438885
171,1.1198791662438885
172,1.1049263234507614
173,1.1049263234507614
174,1.0266046233697665
175,1.0266046233697665
176,0.8017814382458555
177,0.14515538895902672
178,0.05026692223997186
179,2.3810628742239754
180,0.4839814613452028
181,7.843038328338966
182,0.00382355224761806
183,0.0
184,0.00382355224761806
185,0.00382355224761806
186,11.947483380108995
187,9.638826892579191
188,9.639911208473693
189,2.3229372956116507
190,9.40203937535665
191,0.008141147709036841
192,0.008141147709036841
193,0.21160154424691474
194,7.9001885814095845
195,3.6198723081435484
196,0.0
197,0.0
198,0.0
199,4.003854470231815
200,0.0382209629984343
201,0.0
202,1.7679328036916273
203,0.0066716955981751536
204,0.0066716955981751536
205,0.0
206,0.0
207,0.0
208,0.16110059523363612
